,date_ordinal,open,close,volume,low,high
0,735239,156.9769,156.0123,4068105,155.4252,157.1489
1,735240,156.3394,159.1242,5934322,156.3311,159.661
2,735241,158.8054,157.6647,4604105,157.0692,158.8788
3,735242,158.5454,157.1698,4322284,156.4736,158.948
4,735243,157.9499,157.0692,4023089,156.2472,158.168
5,735246,156.2304,154.469,5789107,154.2173,156.8092
6,735247,155.2239,155.9452,4619509,154.2356,156.3713
7,735248,155.8613,157.4718,4829291,155.5845,158.2351
8,735249,157.2956,158.3273,4775167,156.6833,158.5203
9,735250,157.7234,159.4429,7671146,157.5724,160.0468
10,735254,159.5603,158.0505,11121410,156.675,159.6945
11,735255,152.0533,152.8669,13800586,150.7029,153.9154
12,735256,152.1791,153.2695,6974334,151.5752,154.0999
13,735257,152.0281,150.6777,6938768,150.6777,153.3401
14,735260,150.6483,149.2182,5209244,149.0169,150.6861
15,735261,149.3441,148.3375,5336989,147.7588,149.6796
16,735262,147.6078,147.9601,4971142,147.5323,149.7467
17,735263,148.6059,148.7653,4854397,147.9265,149.1847
18,735264,147.7168,148.1949,5195381,147.071,149.1637
19,735267,147.6413,145.0244,7187767,144.8734,147.6413
20,735268,145.5528,144.974,4351180,144.5714,145.7373
21,735269,144.4288,146.1483,4714375,144.4288,146.7606
22,735270,146.7218,147.3121,4292478,146.57,147.4639
23,735271,148.1302,149.488,4725647,147.6495,149.7495
24,735274,149.2519,149.3953,3544486,148.6447,149.8254
25,735275,149.117,151.5543,4654207,149.1085,152.1362
26,735276,151.4025,152.0097,3984148,151.1832,152.8615
27,735277,150.3061,153.3591,4482761,150.0025,153.7977
28,735278,152.87,154.9194,4665873,152.6423,155.5435
29,735282,154.4892,154.4977,4435484,153.7639,155.1808
30,735283,154.1182,154.2953,4671705,153.8398,156.5724
31,735284,154.3037,155.4001,4968267,154.1603,155.906
32,735285,155.3917,154.1603,5699331,154.017,156.623
33,735288,154.1856,154.717,4595312,154.1856,156.1591
34,735289,154.776,154.5314,3902332,154.2362,155.6868
35,735290,155.1302,155.2314,3740884,154.8097,156.2603
36,735291,155.0374,156.2519,3827965,155.0206,156.8254
37,735292,156.3447,156.1676,4668452,154.8856,156.9688
38,735295,154.6158,155.4001,3950114,154.1856,155.7206
39,735296,156.7073,157.2386,4734235,156.5977,157.8459
40,735297,157.3483,157.829,3487359,157.2049,158.5121
41,735298,158.023,158.2507,3817529,157.6266,158.8832
42,735299,158.8495,158.2844,4117826,157.8627,159.3302
43,735302,158.1748,157.1965,4594054,156.7402,158.8664
44,735303,158.0567,157.5085,4229679,156.9013,158.9338
45,735304,156.876,157.0531,4833158,156.7748,158.0905
46,735305,157.2133,155.0965,4913208,154.9362,157.7109
47,735306,155.088,153.6712,5490326,153.6712,155.4254
48,735309,154.0507,156.7073,4938754,154.0507,157.1627
49,735310,156.8591,157.5507,3961319,156.4796,158.47
50,735311,156.5302,155.7796,4323930,154.7592,157.4579
51,735312,155.5772,158.47,5062629,155.3242,158.7736
52,735313,158.976,157.4326,12535281,157.2049,159.1447
53,735316,158.0736,158.7652,5738492,158.023,159.7688
54,735317,159.1953,164.4917,10912699,159.1447,164.7911
55,735318,164.4411,162.4507,6851772,161.8941,164.9892
56,735319,161.8519,160.0977,6767653,159.6692,162.4929
57,735320,160.1905,160.6206,5194443,159.4905,162.4507
58,735323,161.6242,162.3411,8537746,161.4218,163.4206
59,735324,162.8724,164.0362,5395346,162.5856,164.5676
60,735325,163.817,163.235,4924073,162.3411,164.0362
61,735326,162.9399,162.5097,4091060,162.223,163.0917
62,735327,162.8724,161.7338,6090863,161.3206,163.5892
63,735330,161.6917,164.0531,6747080,161.5652,164.7185
64,735331,163.5218,163.0158,5125001,162.5096,163.7558
65,735332,163.5133,165.8411,5485124,163.2772,166.1447
66,735333,165.3519,165.0314,8425601,165.0146,168.0085
67,735334,164.4917,164.6182,4835214,163.8423,166.1447
68,735337,165.5037,166.7941,5433621,165.2001,167.1905
69,735338,165.2844,166.1615,5353177,164.8121,166.4905
70,735339,167.0302,165.6387,8527295,164.4579,167.5868
71,735340,157.9218,160.2495,11255493,157.7194,160.8314
72,735344,160.0724,162.1555,5425283,160.0218,162.6067
73,735345,161.9362,162.0543,3878619,161.2531,162.7712
74,735346,161.7507,161.7001,4736919,160.3338,162.2736
75,735347,162.1133,160.4266,4407352,160.2664,162.1133
76,735348,160.6965,159.929,3871407,159.4905,160.8061
77,735351,161.2025,162.8893,5638334,160.7302,163.6061
78,735352,163.2688,164.5507,4626352,163.117,165.2507
79,735353,163.935,165.6977,4211284,163.9097,166.0266
80,735354,165.5627,163.2182,3675823,162.8977,165.9254
81,735355,163.4037,161.4555,3052953,161.2953,163.4796
82,735358,161.1266,161.3037,2222168,160.0724,161.4977
83,735359,161.0254,160.2664,3188706,159.6085,161.0423
84,735360,160.6142,160.5803,3821023,158.5699,161.4286
85,735361,160.4615,160.2495,2431945,159.6726,161.6576
86,735362,160.3088,161.242,2261739,159.7914,161.6707
87,735365,162.1242,163.3542,3778611,161.9715,163.7359
88,735366,163.5408,163.0318,2226997,162.6671,163.7444
89,735367,162.7943,160.0883,5255970,159.6217,162.8622
90,735368,160.3852,158.1712,4202556,157.9336,160.3937
91,735369,158.01,158.6801,3949644,157.7216,158.977
92,735372,158.2984,158.6292,3270670,157.8149,158.7395
93,735373,157.993,156.8394,3032896,156.6782,158.3748
94,735374,157.6537,158.1118,2988348,156.8903,158.765
95,735375,158.1627,157.5095,2218149,156.9581,158.1627
96,735376,157.6452,157.7301,2563424,157.1957,157.8997
97,735380,156.763,156.746,4794501,156.025,157.4841
98,735381,156.4916,155.304,3724124,155.1852,156.8309
99,735382,155.779,155.8808,2759978,154.6678,155.8978
100,735383,155.5584,156.3898,4620207,154.8035,156.5679
101,735386,156.7291,157.518,3204034,156.6527,158.0186
102,735387,157.3992,156.3983,2517123,156.1862,157.5774
103,735388,156.6867,156.517,2376981,156.254,157.3144
104,735389,156.6443,157.764,2861974,156.0165,157.8573
105,735390,158.1797,158.0948,3296900,157.6961,159.1806
106,735393,157.9676,157.9676,2728403,157.747,159.1721
107,735394,157.9506,156.3304,4157062,155.9317,157.9675
108,735395,155.7536,154.5999,4065310,154.3963,156.254
109,735396,154.795,153.7262,4425491,153.4632,154.8544
110,735397,154.3878,154.8629,2778984,153.9806,155.2361
111,735400,154.7271,154.6847,3556218,153.7389,154.9901
112,735401,154.303,154.6084,2460857,154.0146,155.0749
113,735402,154.4217,155.7451,3935653,154.2097,155.7536
114,735403,156.1862,155.0834,3551276,154.6898,156.4831
115,735404,154.8883,154.0061,10686834,153.8788,154.9562
116,735407,154.32,154.5066,3231699,153.5395,154.5999
117,735408,153.9637,153.4377,3875453,153.2426,155.2361
118,735409,152.9033,153.302,2763020,152.7421,153.5141
119,735410,153.4293,153.0051,3258470,152.072,153.8534
120,735411,152.4961,154.1418,4575680,152.4028,154.778
121,735414,153.8195,153.7686,4228836,152.9118,154.3284
122,735415,154.1333,158.0779,6644363,154.1333,158.8583
123,735416,158.0694,159.8084,5097199,157.9252,160.3173
124,735417,159.8084,159.9271,2422363,158.9261,160.1612
125,735421,159.1467,159.5115,2958947,159.0025,159.7066
126,735422,159.1806,158.8159,3135115,158.0948,159.5454
127,735423,159.2061,159.8338,3309559,158.5359,160.241
128,735424,158.1542,159.223,3177816,157.9591,159.5199
129,735425,159.2485,159.4775,2403840,158.379,159.7744
130,735428,159.9441,161.0553,4502202,159.9271,161.5473
131,735429,160.7839,159.8932,4873452,159.6557,161.242
132,735430,163.0743,163.176,7815648,161.8188,164.0243
133,735431,163.176,163.2863,8872269,162.8707,166.2214
134,735432,162.8367,163.2948,8169325,161.1741,164.0922
135,735435,162.2769,161.8951,4154740,160.5379,162.6162
136,735436,162.5229,164.6436,4853041,162.4974,165.178
137,735437,164.6605,164.2534,3584465,164.2025,165.3307
138,735438,164.5248,165.6191,3612656,164.3552,165.9415
139,735439,165.67,164.9065,3376455,164.3892,166.179
140,735442,164.8217,166.0772,3242443,164.2703,166.6031
141,735443,165.67,165.0508,3264409,165.0253,166.1705
142,735444,165.5852,164.5672,3945601,163.6341,166.2553
143,735445,163.5832,162.5907,4208005,162.4805,164.8132
144,735446,161.5982,160.4531,5181080,160.2071,162.4465
145,735449,160.6227,160.8687,2125935,159.9865,161.1317
146,735450,160.1137,158.7141,3307945,158.1542,160.4921
147,735451,158.1679,158.6884,3847046,157.3829,159.4649
148,735452,159.2601,157.2634,2708935,156.649,159.2943
149,735453,157.3488,159.2516,2781936,156.649,159.2857
150,735456,160.2585,159.9684,2527208,158.953,160.7278
151,735457,159.9513,159.8575,1858635,159.4052,161.0094
152,735458,160.4206,160.378,1795041,159.8831,160.8302
153,735459,160.0537,160.3182,1929581,159.5076,160.5657
154,735460,160.2926,159.8916,2815822,159.3881,161.1715
155,735463,160.506,161.5811,2420398,160.2158,161.9651
156,735464,162.1614,162.187,2040117,161.5811,162.3406
157,735465,162.0078,162.2126,2177702,161.4873,162.46
158,735466,162.8952,163.1768,2497985,162.5539,163.8936
159,735467,162.7843,162.4771,1940434,162.3747,163.7314
160,735470,163.3133,163.1171,1726100,162.7331,163.6717
161,735471,162.9976,164.6786,3175399,162.9976,165.1394
162,735472,164.7127,164.0472,2190285,163.4584,165.6539
163,735473,163.3816,163.8338,1503582,162.6904,164.0886
164,735474,164.0728,164.0898,2911097,163.1,164.4738
165,735478,164.4141,163.4584,2679659,162.9208,164.6615
166,735479,164.1666,163.7912,1824378,163.7144,164.6445
167,735480,163.5693,162.7075,2868754,162.1784,164.4226
168,735481,162.5795,163.1512,2261215,162.204,163.6205
169,735484,162.7672,162.2467,2525626,161.7091,163.1512
170,735485,162.4174,162.1187,2403631,161.9395,162.7587
171,735486,162.2296,163.4413,2765324,162.2126,163.9618
172,735487,163.0488,163.5949,2299390,162.2296,164.4994
173,735488,163.3816,163.2195,2900967,162.6136,163.4925
174,735491,163.3389,163.6717,2457803,162.6222,164.252
175,735492,163.1939,164.653,2561528,162.8269,165.1735
176,735493,164.8749,164.5165,3214117,164.0898,165.2333
177,735494,164.508,165.3271,2963446,164.4397,165.6514
